node_name,address,node_type,region,brief_intro,practical_info,recommended_action,dwell_time_min,sequence_weight,tags
GM巨人展,淮海中路附近,文化,武康路-安福路,免费无需预约！有三层楼，店内有咖啡售卖,无具体信息，建议提前查询开放时间,观展、喝咖啡,30,5,"展览, 文化"
Niko and,淮海中路附近,购物,武康路-安福路,日式杂货之王，有超多原创且有意思的小物件,无具体信息，建议提前查询营业时间,购物,40,6,"购物, 杂货"
米仓POP,淮海中路附近,味觉,武康路-安福路,网红店，这家松饼口感绵密，舒芙蕾超好吃,无具体信息，建议提前查询营业时间,品尝松饼和舒芙蕾,30,5,"甜点, 网红"
名创优品,淮海中路附近,购物,武康路-安福路,上海旗舰店，有一整面墙的草莓熊,无具体信息，建议提前查询营业时间,购物,20,5,"购物, 网红"
老麦咖啡,武康路105号,味觉,武康路-安福路,网红复古咖啡馆，提供招牌老麦咖啡。,无门票，营业时间8:00-22:00,点杯招牌老麦咖啡，坐在窗边感受悠闲时光,30,7,"咖啡馆, 网红"
开普敦公寓,武康路沿线,历史,武康路-安福路,Art Deco风格的建筑。,无门票，开放时间全天,欣赏Art Deco风格建筑,10,5,"建筑, 历史"
意大利领事官邸,武康路沿线,历史,武康路-安福路,地中海风情的建筑。,无门票，开放时间全天,欣赏地中海风格建筑,10,5,"建筑, 历史"
衡复风貌馆,武康路沿线,文化,武康路-安福路,展示老建筑历史，集雅呈现新中式美学。,无门票，开放时间根据展览安排,了解老建筑历史和新中式美学,20,5,"文化, 历史"
上海邮政博物馆,天潼路站3号口附近,视觉,外滩-圆明园路,展示上海邮政历史的博物馆，具有复古欧式建筑风格,免费开放（可能需预约）,拍摄复古欧式穹顶和‘上海之门’框景,20,8,"历史, 打卡点, 建筑"
苏州河畔,苏州河沿岸，靠近乍浦路桥,视觉,外滩-圆明园路,具有塞纳河般氛围的滨水区域，连接陆家嘴与外滩,全天开放,拍摄河滨大楼、老码头和长椅等胶片感场景,15,6,"江景, 城市景观, 摄影"
乍浦路桥,苏州河上，连接两岸,视觉,外滩-圆明园路,具有历史感的桥梁，是苏州河上的标志性建筑,全天开放,拍摄桥身与陆家嘴、外滩的全景,10,5,"桥梁, 城市景观, 摄影"
新天安堂剧院,圆明园路步行街,视觉,外滩-圆明园路,红砖哥特式教堂，具有独特建筑风格,可能需预约参观,在教堂广场台阶仰拍钟楼,15,7,"建筑, 宗教场所, 摄影"
外白渡桥,外滩与虹口区交界处,视觉,外滩-圆明园路,上海地标性铁桥，影视剧经典取景地,全天开放,拍摄桥身与东方明珠同框画面,10,9,"桥梁, 地标, 摄影"
滨江观景台,北外滩滨江步道沿线,视觉,外滩-圆明园路,无遮挡观赏陆家嘴全景的观景地点,全天开放,欣赏江景与陆家嘴全景,15,7,"观景台, 江景, 城市景观"
Manner江景店,滨江步道沿线,味觉,外滩-圆明园路,提供咖啡与江景的特色咖啡店,营业时间：通常为早9点至晚10点,品尝咖啡并拍摄江景,20,6,"咖啡店, 江景, 休闲"
小巨蛋,航海公园附近,视觉,外滩-圆明园路,网红拍照点，具有现代感的建筑结构,全天开放,拍摄彩虹桥与小巨蛋的组合画面,10,5,"网红景点, 摄影, 现代建筑"
外滩观景平台,外滩沿江区域,视觉,外滩-圆明园路,上海著名打卡景点，可俯瞰黄浦江和陆家嘴天际线,免费开放,拍摄外滩夜景和陆家嘴全景,20,8,"地标, 观景, 拍照"
上海市人民英雄纪念塔,外滩中段,历史,外滩-圆明园路,纪念上海革命历史的标志性建筑,免费开放,了解上海近代历史,10,6,"历史, 地标"
北外滩滨江步道,北外滩沿江区域,放空,外滩-圆明园路,人少景美的滨江步行道,免费开放,散步、欣赏江景和城市风光,30,9,"休闲, 观景, 慢游"
manner coffee（国客滨江店）,国客滨江,味觉,外滩-圆明园路,位于滨江的咖啡店，拥有绝佳江景视野,营业时间：通常为早上7点至晚上10点,在江景咖啡厅享用咖啡，欣赏城市夜景,40,10,"咖啡, 观景, 休闲"
豫园,豫园路153号,历史,豫园-老城厢,上海市区唯一保存完好的明代江南古典园林,淡季30元/旺季40元，开放时间9:00–16:30（16:00停止入场），每周一闭园（法定节假日除外）,游览园林景观，感受江南古典建筑艺术,120,10,"古建筑, 园林, 文化"
三穗堂,豫园内,视觉,豫园-老城厢,豫园入园第一景，梁柱雕花精致,,欣赏精美的木雕装饰,10,8,"建筑, 雕刻"
仰山堂,豫园内,视觉,豫园-老城厢,凭栏看假山叠翠、池水涟漪,,欣赏园林景观,10,7,"建筑, 园林"
大假山,豫园内,视觉,豫园-老城厢,豫园标志性景观，登顶视野绝,,登高俯瞰园林全景,15,9,"假山, 景观"
玉玲珑,豫园内,视觉,豫园-老城厢,江南三大名石之一，瘦透漏皱,,观赏奇石,10,7,"奇石, 园林"
万花楼,豫园内,视觉,豫园-老城厢,花木繁盛，氛围感拉满,,欣赏园林花木,10,6,"建筑, 园林"
古戏台,豫园内,视觉,豫园-老城厢,雕梁画栋，藻饰精美，江南第1️⃣,,欣赏传统戏曲舞台,10,5,"建筑, 戏曲"
鱼乐榭,豫园内,视觉,豫园-老城厢,临池观锦鲤，治愈满分,,观赏锦鲤，放松心情,10,6,"园林, 水景"
九曲桥,豫园内,视觉,豫园-老城厢,九曲十八弯，寓意九曲归一,,漫步九曲桥，感受传统意境,10,7,"桥梁, 园林"
湖心亭,豫园内,视觉,豫园-老城厢,豫园内的亭子，可俯瞰园林景色,,欣赏园林景色,10,6,"亭子, 园林"
城隍庙,豫园附近,文化,豫园-老城厢,上海著名的历史文化景点,需另外购票,参观历史文化建筑,60,5,"文化, 历史"
南翔小笼,城隍庙商圈,味觉,豫园-老城厢,上海老字号美食，以小笼包闻名,,品尝正宗小笼包,30,4,"小吃, 美食"
松月楼素菜包,城隍庙商圈,味觉,豫园-老城厢,上海老字号素菜包店,,品尝素菜包,30,4,"素食, 美食"
豫园商城,豫园附近,购物,豫园-老城厢,古城商业街，售卖传统商品,免费开放，晚上亮灯,购买雪花膏、大白兔等传统商品,60,7,"商业街, 购物"
之禾卡纷花园,衡山路23号附近,视觉,衡山路-复兴西路,具有特色的花园建筑,无门票，开放时间一般为全天,拍照打卡,15,8,"拍照, 花园, 建筑"
衡山路23号,衡山路23号,视觉,衡山路-复兴西路,圣诞氛围浓厚的建筑,无门票，开放时间一般为全天,感受节日氛围，拍照,10,7,"节日装饰, 建筑, 拍照"
国际礼拜堂,衡山路附近,文化,衡山路-复兴西路,历史悠久的教堂,可能常闭门，需在马路对面拍摄,远观拍照,5,6,"教堂, 建筑, 拍照"
衡山路8号,衡山路8号,放空,衡山路-复兴西路,适合休息的广场,无门票，开放时间一般为全天,休息、欣赏周边环境,15,5,"广场, 休息, 城市景观"
丽波花园,丽波花园,放空,衡山路-复兴西路,生活化的公园,无门票，开放时间一般为全天,散步、观察居民生活,20,4,"公园, 生活化, 散步"
徐家汇藏书楼,徐家汇藏书楼,文化,衡山路-复兴西路,历史悠久的图书馆,需注意开放时间，周二至周六下午15:30关门,参观、了解历史,30,3,"图书馆, 文化, 历史"
徐家汇天主堂,徐家汇天主堂,文化,衡山路-复兴西路,天主教教堂,周二至周六下午15:30关门，本月周六可能不开放,参观、感受宗教氛围,20,2,"教堂, 宗教, 建筑"
徐汇区书院,徐汇区书院,文化,衡山路-复兴西路,现代文化空间,无门票，开放时间一般为全天,参观、体验文化活动,25,1,"文化空间, 书院, 现代建筑"
一尺花园,衡山路,味觉,衡山路-复兴西路,一家可以吃brunch的餐厅，适合拍照和休闲。,需要提早到达，不能预约。,选择靠窗位置拍照，或选择室内位置享受温暖氛围。,60,8,"brunch, 拍照, 咖啡馆"
爱庐,东平路,历史,衡山路-复兴西路,宋美龄故居，具有历史价值。,无特别说明,参观故居，了解其历史背景。,45,6,"历史建筑, 名人故居, 文化"
普希金纪念碑,东平路尽头,视觉,衡山路-复兴西路,纪念俄罗斯诗人普希金的纪念碑，是打卡点。,无特别说明,拍照打卡，并背诵《假如生活欺骗了你》。,20,5,"纪念碑, 拍照, 文化"
上海交响乐博物馆,宝庆路,文化,衡山路-复兴西路,介绍古典音乐和上海交响乐团的博物馆。,免费，建议预约，但有时可直接进入。,试听经典音乐作品，了解音乐历史。,90,9,"博物馆, 音乐, 文化"
聂耳音乐广场,淮海西路,视觉,衡山路-复兴西路,以中国音乐家聂耳为主题的广场，有雕像。,无特别说明,与聂耳雕像合影，感受音乐氛围。,20,5,"音乐, 雕像, 拍照"
黑石公寓,复兴中路,历史,衡山路-复兴西路,上海折衷主义风格的老建筑，具有历史价值。,无特别说明,在外观拍照，了解建筑风格。,30,7,"历史建筑, 建筑, 拍照"
幸福集荟,黑石公寓侧门,购物,衡山路-复兴西路,位于黑石公寓侧门的综合商店，包含唱片店、书店等。,内部正在整修，开放时间待定。,在外部打卡，观察店铺外观。,15,4,"商店, 书店, 拍照"
亦庐,黑石公寓旁边,购物,衡山路-复兴西路,一家旧书店，藏书丰富。,书籍价格较高。,浏览旧书，感受书香氛围。,30,6,"旧书店, 文化, 购物"
丰盛里,茂名北路,视觉,南京西路-静安寺,石库门特色建筑群，百年老洋房与现代艺术展的结合。,免费开放,参观建筑和艺术展览,30,10,"历史, 文化"
莱莱小笼,茂名北路,味觉,南京西路-静安寺,上海传统小吃店，以小笼包闻名。,营业时间：10:00-22:00,品尝上海特色小笼包,45,9,"美食, 传统"
石窑面包,茂名北路,味觉,南京西路-静安寺,提供各种烘焙食品的店铺。,营业时间：10:00-22:00,尝试新鲜烘焙的面包,30,8,"美食, 甜点"
椰子不语,茂名北路,味觉,南京西路-静安寺,提供椰子相关饮品和甜品的店铺。,营业时间：10:00-22:00,品尝特色椰子饮品,20,7,"美食, 饮品"
珮姐,茂名北路,味觉,南京西路-静安寺,重庆火锅网红店。,营业时间：10:00-22:00,体验重庆火锅风味,60,8,"美食, 火锅"
广莲申,茂名北路,味觉,南京西路-静安寺,提供各种上海传统点心的店铺。,营业时间：10:00-22:00,品尝上海传统点心,30,7,"美食, 传统"
张园,南京西路,视觉,南京西路-静安寺,上海石库门老弄堂建筑代表，被称为‘海上第一名园’。,免费开放,欣赏石库门建筑和拍照,45,10,"历史, 文化, 建筑"
LOUIS VUITTON,张园,购物,南京西路-静安寺,奢侈品牌旗舰店。,营业时间：10:00-22:00,购买奢侈品,30,8,"购物, 奢侈"
DIOR,张园,购物,南京西路-静安寺,奢侈品牌旗舰店。,营业时间：10:00-22:00,购买奢侈品,30,8,"购物, 奢侈"
VACHERON CONSTANTIN,张园,购物,南京西路-静安寺,奢侈品牌手表店。,营业时间：10:00-22:00,选购高端手表,30,8,"购物, 奢侈"
Blue Bottle Coffee,张园,味觉,南京西路-静安寺,知名咖啡品牌，提供高品质咖啡。,营业时间：10:00-22:00,品尝精品咖啡,20,7,"咖啡, 美食"
RE Bike Museum,张园,文化,南京西路-静安寺,自行车博物馆，展示各类自行车历史。,免费开放,了解自行车历史,30,7,"文化, 历史"
DIPTYQUE,张园,购物,南京西路-静安寺,法国香氛品牌，提供香水和蜡烛等产品。,营业时间：10:00-22:00,选购香氛产品,20,7,"购物, 香氛"
Ortensia Restaurant,张园,味觉,南京西路-静安寺,源自法国的巴黎米其林一星餐厅。,营业时间：11:00-22:00,体验法式料理,60,8,"美食, 高级"
吴江路,南京西路,味觉,南京西路-静安寺,美食步行街，提供各种当地特色美食。,免费开放,品尝各地特色美食,60,9,"美食, 步行街"
BUTTERFUL & CREAMOROUS 黄油与面包,吴江路,味觉,南京西路-静安寺,非常火爆的黄油与面包店。,营业时间：10:00-22:00,尝试特色黄油与面包,30,8,"美食, 甜点"
马子禄牛肉面,吴江路,味觉,南京西路-静安寺,兰州拉面店，味道不错。,营业时间：10:00-22:00,品尝兰州拉面,30,7,"美食, 面食"
Hot Toys,吴江路,购物,南京西路-静安寺,玩具手办店，漫威爱好者必去。,营业时间：10:00-22:00,购买手办和玩具,30,7,"购物, 动漫"
Niko and…,吴江路,购物,南京西路-静安寺,时尚日系服饰店。,营业时间：10:00-22:00,选购日系服饰,30,7,"购物, 时尚"
Potato Corner,吴江路,味觉,南京西路-静安寺,提供各种口味薯条的店铺。,营业时间：10:00-22:00,尝试不同口味的薯条,20,6,"美食, 快餐"
LV路易号巨轮,兴业太古汇,视觉,南京西路-静安寺,非凡之旅展览，展示路易威登的历史。,免费开放,参观展览,30,8,"文化, 展览"
星巴克甄选烘焙工坊,兴业太古汇,味觉,南京西路-静安寺,国内最大的星巴克，提供咖啡制作过程体验。,营业时间：10:00-22:00,体验咖啡制作过程,30,7,"咖啡, 美食"
BEIGEL TREE贝果树,兴业太古汇,味觉,南京西路-静安寺,纽约贝果博物馆，提供各种贝果。,营业时间：10:00-22:00,尝试不同口味的贝果,30,7,"美食, 甜点"
泽田本家,兴业太古汇,味觉,南京西路-静安寺,网红铜锣烧店。,营业时间：10:00-22:00,品尝铜锣烧,20,6,"美食, 甜点"
梅龙镇广场,南京西路,购物,南京西路-静安寺,购物中心，提供多种购物选择。,营业时间：10:00-22:00,购物和休闲,60,10,"购物, 商场"
中信泰富广场,南京西路,购物,南京西路-静安寺,购物中心，提供多种购物选择。,营业时间：10:00-22:00,购物和休闲,60,10,"购物, 商场"
恒隆广场,南京西路,购物,南京西路-静安寺,高端购物中心，提供奢侈品牌和优质服务。,营业时间：10:00-22:00,购物和享受高端服务,60,10,"购物, 奢侈"
静安嘉里中心,南京西路,购物,南京西路-静安寺,综合性购物中心，提供购物、餐饮和娱乐。,营业时间：10:00-22:00,购物、餐饮和娱乐,60,10,"购物, 综合"
芮欧百货,南京西路,购物,南京西路-静安寺,高端百货商店，提供奢侈品和时尚商品。,营业时间：10:00-22:00,购物和挑选时尚商品,60,10,"购物, 奢侈"
久光百货,南京西路,购物,南京西路-静安寺,百货商店，提供多种商品和品牌。,营业时间：10:00-22:00,购物和休闲,60,10,"购物, 百货"
静安寺,南京西路与延安中路交汇处,文化,南京西路-静安寺,上海历史悠久的古刹之一,门票50元,在马路对面的人行天桥上拍照打卡,30,10,"宗教, 历史"
静安公园,南京西路与延安中路交汇处对面,放空,南京西路-静安寺,静安寺对面的公园,免费开放,散步或在泰廊餐厅用餐,20,8,"休闲, 公园"
嘉里中心,南京西路与石门二路交汇处,购物,南京西路-静安寺,综合商业体,营业时间一般为10:00-22:00,购物、餐饮和休闲,60,7,"商场, 购物"
上海展览中心,南京西路与延安中路交汇处,视觉,南京西路-静安寺,俄罗斯风格建筑，原为中苏友好大厦,对外开放，可参观,拍照和参观欧式建筑,40,9,"建筑, 历史"
中信泰富,南京西路与延安中路交汇处,购物,南京西路-静安寺,高档购物中心,营业时间一般为10:00-22:00,购物和体验高端品牌,60,7,"商场, 购物"
AND STORE,南京西路与石门二路交汇处,购物,南京西路-静安寺,NIKO AND 全新升级的品牌集合店,营业时间一般为10:00-22:00,购物和体验日系品牌,30,6,"商场, 购物"
星巴克臻选上海烘焙工坊,南京西路与石门二路交汇处,味觉,南京西路-静安寺,亚洲最大的星巴克烘焙坊,营业时间一般为10:00-22:00,参观咖啡制作过程和购买周边商品,30,6,"咖啡, 餐饮"
K11购物艺术中心,黄陂南路与复兴中路交叉口附近,购物,新天地-马当路,国内首个艺术购物中心，设有美术馆和多个品牌店铺。,无明确门票信息，营业时间通常为商场营业时间。,参观B3层美术馆展览，逛高奢品牌和潮流店铺。,60,8,"艺术, 购物, 文化"
新天地广场,黄陂南路与马当路交叉口附近,味觉,新天地-马当路,以美食为主的商业区，适合用餐休息。,无明确门票信息，营业时间通常为商场营业时间。,在商场内享用特色餐饮，体验上海本地美食。,45,7,"美食, 休闲"
新天地北里,黄陂南路与马当路交叉口附近,视觉,新天地-马当路,石库门特色街区，融合历史与时尚元素。,无明确门票信息，开放时间通常为白天至晚上。,拍照打卡，探索高颜值店铺和露天酒吧。,60,9,"历史, 时尚, 拍照"
新天地新里,黄陂南路与马当路交叉口附近,购物,新天地-马当路,集购物、娱乐于一体的商业区。,无明确门票信息，营业时间通常为商场营业时间。,逛话梅、GM巨人展等特色店铺。,45,7,"潮流, 购物"
新天地时尚1期,黄陂南路与马当路交叉口附近,购物,新天地-马当路,潮流购物地，有安福路同款小熊咖啡店。,无明确门票信息，营业时间通常为商场营业时间。,打卡小熊咖啡店，逛AMAM粉色城堡等网红店铺。,45,8,"潮流, 网红, 购物"
新天地时尚2期,黄陂南路与马当路交叉口附近,购物,新天地-马当路,年轻潮流聚集地，有多家特色店铺。,无明确门票信息，营业时间通常为商场营业时间。,逛左右艺术超市、Jellycat玩偶店和韩系女装店。,60,9,"潮流, 购物, 韩系"
一大会址,黄陂南路与复兴中路交叉口附近,历史,新天地-马当路,中国共产党第一次全国代表大会召开地。,免费开放，需提前预约，开放时间通常为9:00-17:00。,参观革命历史展览，了解中国共产党早期历史。,60,10,"历史, 红色旅游"
中共一大纪念馆,黄浦区马当路119号,文化,新天地-马当路,中国共产党第一次全国代表大会的召开地，具有重要历史意义。,需预约，周一闭馆,参观展览，了解中国共产党早期历史,60,8,"历史, 文化"
% Arabica咖啡,新天地北里,味觉,新天地-马当路,知名精品咖啡品牌，以极简风格和优质咖啡著称。,无特别门票信息,品尝咖啡，感受极简设计风格,20,6,"味觉, 视觉"
新天地时尚I/II,黄浦区马当路119号,购物,新天地-马当路,集购物、餐饮、休闲于一体的现代化购物中心。,无特别门票信息,购物、拍照、享受屋顶花园景观,45,7,"购物, 视觉"
思南公馆,黄浦区思南路,视觉,新天地-马当路,梧桐树下的洋房建筑群，充满文艺气息。,无特别门票信息,享受下午茶，感受文艺氛围,40,6,"视觉, 文化"
RIO LAB,思南公馆,味觉,新天地-马当路,提供创意鸡尾酒的酒吧，适合年轻人聚会。,无特别门票信息,品尝特色鸡尾酒，体验夜生活,30,5,"味觉, 文化"
思南书局,思南公馆,文化,新天地-马当路,位于思南公馆内的书店，兼具阅读与文化空间功能。,无特别门票信息,阅读书籍，感受文艺氛围,20,5,"文化, 视觉"
TX淮海,黄浦区淮海中路,购物,新天地-马当路,集艺术展览与潮流品牌于一体的商业空间。,无特别门票信息,观看先锋艺术展，购买小众潮牌,30,6,"购物, 文化"
蔡澜港式点心,新天地南里,味觉,新天地-马当路,提供正宗港式点心的餐厅，菜品精致。,无特别门票信息,品尝港式点心，体验地道风味,30,5,"味觉, 文化"
Shake Shack,新天地南里,味觉,新天地-马当路,知名汉堡连锁品牌，提供美式快餐。,无特别门票信息,品尝网红汉堡，体验美式风味,20,5,"味觉, 视觉"
香港寶林糖水鋪,新天地南里,味觉,新天地-马当路,提供传统港式糖水的店铺，环境复古。,无特别门票信息,品尝港式糖水，感受复古氛围,20,5,"味觉, 视觉"
纽约贝果博物馆,黄浦区马当路119号,视觉,新天地-马当路,以美式复古风格为主题的贝果店，提供多种口味的贝果。,无特别门票信息,尝试不同口味的贝果，欣赏店内装饰,25,6,"视觉, 味觉"
面包咖啡好天气,江苏路地铁站4号口附近,味觉,愚园路 (长宁段),一家提供精致甜品的咖啡店,无特殊门票信息，营业时间一般为早10点至晚8点,品尝精致甜品，感受治愈氛围,30,5,"咖啡店, 甜品"
董记庐春面馆,江苏路地铁站4号口附近,味觉,愚园路 (长宁段),提供传统上海面食的面馆,无特殊门票信息，营业时间一般为早7点至晚9点,品尝雪菜肉丝面等传统面食,20,4,"面馆, 传统美食"
愚园路电台,愚园路,文化,愚园路 (长宁段),沪上首个广播沉浸式文化地标,无特殊门票信息，营业时间一般为早10点至晚10点,点一杯‘电台咖啡’，感受文艺氛围,40,6,"文化地标, 咖啡馆"
愚园路百货公司,愚园路,购物,愚园路 (长宁段),集合潮流品牌和艺术的店铺,无特殊门票信息，营业时间一般为早10点至晚10点,探索潮流品牌和快闪活动,30,5,"购物, 潮流品牌"
CALEX灯饰店,愚园路,视觉,愚园路 (长宁段),创意感满满的灯饰店,无特殊门票信息，营业时间一般为早10点至晚10点,欣赏玻璃橱窗设计，拍照打卡,20,4,"灯饰店, 拍照"
愚园路故事商店,愚园路,文化,愚园路 (长宁段),又名‘解忧杂货铺’，常举办主题展览或活动,无特殊门票信息，营业时间一般为早10点至晚10点,参与主题展览或活动,30,5,"文化商店, 展览"
岐山村,愚园路1032弄,历史,愚园路 (长宁段),曾是钱学森、施蛰存等名人的居所，展示近代名人事迹,无特殊门票信息，开放时间为全天,参观花园洋房，了解近代历史,60,8,"历史建筑, 名人故居"
愚楽集·BuBu 市集,愚园路1088弄创邑SPACE,购物,愚园路 (长宁段),汇聚手工美学、绘画手账等独立品牌的市集,无特殊门票信息，开放时间为白天,淘特色好物，感受慢生活,40,6,"市集, 手工艺品"
粉家螺蛳粉,愚园路靠近定西路路段,味觉,愚园路 (长宁段),螺蛳粉爱好者不容错过的餐厅,无特殊门票信息，营业时间一般为中午11点至晚上9点,品尝特色螺蛳粉,20,4,"螺蛳粉, 小吃"
桐乡咬强羊肉面,愚园路靠近定西路路段,味觉,愚园路 (长宁段),提供热气腾腾的羊肉面的餐厅,无特殊门票信息，营业时间一般为中午11点至晚上9点,在秋冬季节享用羊肉面,20,4,"羊肉面, 地方特色"
堂屋糖水店,愚园路靠近定西路路段,味觉,愚园路 (长宁段),提供清甜糖水的甜品店,无特殊门票信息，营业时间一般为下午2点至晚上9点,餐后享用清甜糖水,15,3,"糖水店, 甜品"
长宁区图书馆愚园馆,愚园路,文化,愚园路 (长宁段),提供阅读空间的图书馆,无特殊门票信息，开放时间为白天,静心阅读，享受宁静时光,30,5,"图书馆, 阅读"
江苏路街道图书馆,愚园路,文化,愚园路 (长宁段),提供阅读空间的图书馆,无特殊门票信息，开放时间为白天,静心阅读，享受宁静时光,30,5,"图书馆, 阅读"
新页书房·亲子科普馆,愚园路,文化,愚园路 (长宁段),提供亲子阅读时光的科普馆,无特殊门票信息，开放时间为白天,与孩子一起享受亲子阅读时光,40,5,"亲子阅读, 科普"
CP静安,愚园路与静安寺区域,购物,愚园路 (长宁段),大型购物中心，包含各类品牌和餐饮店铺,营业时间一般为10:00-22:00,逛街购物、品尝美食,60,8,"购物中心, 商业区"
愚园支路,愚园路P3至安西路十字路口,历史,愚园路 (长宁段),充满历史保护建筑的街道，建筑风格多样,全天开放,漫步欣赏建筑、探索特色店铺,90,10,"历史建筑, 步行街"
安西路十字路口,愚园路与安西路交叉口,视觉,愚园路 (长宁段),愚园路的重要交汇点,全天开放,拍照、观察城市景观,30,7,"地标性路口, 城市景观"
长宁路,愚园路至长宁路终点,视觉,愚园路 (长宁段),愚园路的最后一段，繁华且有特色,全天开放,散步、感受城市氛围,60,6,"城市道路, 商业区"
新艺花行,天潼路地铁站附近,视觉,苏州河 (静安/黄浦段),花店，位于苏州河沿岸,无门票信息,欣赏花卉布置,10,8,"花店, 苏州河沿岸"
不止空间,原新天安堂,文化,苏州河 (静安/黄浦段),艺术空间，原为新天安堂教堂,免费参观，需预约,欣赏艺术展览,25,4,"艺术空间, 历史建筑"
洛克·外滩源,苏州河与黄浦江交汇处,购物,苏州河 (静安/黄浦段),商业综合体，包含多个品牌店铺,无门票信息,购物和休闲,40,3,"商业区, 购物"
圆明园路,苏州河沿岸,视觉,苏州河 (静安/黄浦段),历史街道，具有欧式建筑风格,无门票信息,漫步感受历史氛围,20,2,"历史街道, 建筑"
沙美大楼,苏州河沿岸,视觉,苏州河 (静安/黄浦段),具有历史感的建筑,无门票信息,拍照留念,10,1,"建筑, 苏州河"
万国建筑群,苏州河沿岸,视觉,苏州河 (静安/黄浦段),汇集多国建筑风格的建筑群,无门票信息,欣赏建筑风格,25,2,"建筑群, 历史"
和平饭店,苏州河沿岸,文化,苏州河 (静安/黄浦段),历史悠久的豪华酒店,无门票信息,参观建筑和历史,30,3,"历史建筑, 文化"
外滩,苏州河与黄浦江交汇处,视觉,苏州河 (静安/黄浦段),上海著名景观带,无门票信息,欣赏夜景和建筑,40,4,"景观带, 夜景"
观夏,洛克外滩源,购物,苏州河 (静安/黄浦段),香氛品牌店,无门票信息,选购香氛产品,15,5,"香氛, 购物"
伊索aesop,洛克外滩源,购物,苏州河 (静安/黄浦段),洗护品牌店,无门票信息,选购洗护产品,15,5,"洗护, 购物"
山石榴,苏州河万象天地店,味觉,苏州河 (静安/黄浦段),贵州菜餐厅,无门票信息,品尝花溪牛肉粉,60,6,"贵州菜, 餐厅"
DQ汉堡,上海门店,味觉,苏州河 (静安/黄浦段),特色汉堡店,无门票信息,尝试特色汉堡,30,7,"汉堡, 餐厅"
Yugo grill,福铭远东商务楼店,味觉,苏州河 (静安/黄浦段),南斯拉夫风味餐厅,无门票信息,品尝南斯拉夫菜,60,8,"南斯拉夫菜, 餐厅"
