,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Day 2,SH-TICKET-03,上海,门票,中共一大会址纪念馆,"免费, 需预约",0,,,2,4,0,0,,,,,,,,
,Day 2,SH-TICKET-04,上海,门票,静安寺,门票,50,,人,2,4,100,200,,,,,,,,
,Day 2,SH-GUIDE-01,上海,导游,英文导游-初级,8h景点讲解,1200,,天,1,1,1200,1200,,,,,,,,
,Day 2,SH-TRANS-06,上海,打车,滴滴快车,市内,200,,天,,0,0,0,,,,,,,,
,Day 2,SH-TRANS-02,上海,车辆,7座车,市内包车+司机,800,,天,,1,0,800,,,,,,,,
,Day 2,SH-REC-03,上海,推荐活动,法租界小酌,人均150,,,,,0,0,0,,,,,,,,
,,,,,,,,,,,,,0,,,,,,,,
,总计,,,,,,,,,,,2580,4360,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,产品名称,Shanghai 2.5 Days,,,产品名称,Shanghai 2.5 Days,,,,,,,,,,,,,,,
,产品编号,SH-P-02,,,产品编号,SH-P-02,,,,,,,,,,,,,,,
,市内交通方式,半自助打车,,,市内交通方式,私家团,,,,,,,,,,,,,,,
,行程,,,,行程,,,,,,,,,,,,,,,,
,D1,公园+上博+豫园+城隍庙+外滩+夜游(可选),,,D1,公园+上博+豫园+城隍庙+外滩+夜游(可选),,,,,,,,,,,,,,,
,D2,古镇+非遗体验(可选)+古镇上海本帮菜(推荐),,,D2,古镇+非遗体验(可选)+古镇上海本帮菜(推荐),,,,,,,,,,,,,,,
,D3,一大+静安寺+武康路+法租界小酌(推荐),,,D3,一大+静安寺+武康路+法租界小酌(推荐),,,,,,,,,,,,,,,
,产品成本,4080,,,产品成本,6460,,,,,,,,,,,,,,,
,利润保留,30%,,,利润保留,30%,,,,,,,,,,,,,,,
,售价,5304,,,售价,8398,,,,,,,,,,,,,,,
,单人售价/2人,2652,,,单人售价/4人,2099.5,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,日期,项目编号,城市,服务类目,项目名称,项目说明,单价,单价（旺季）,单位,数量（2人）,数量（4人）,小计（2人）,小计（4人）,备注,,,,,,,
,Day 1,SH-TICKET-01,上海,门票,上海博物馆,"免费, 需预约",0,,,2,4,0,0,,,,,,,,
,Day 1,SH-TICKET-7,上海,门票,城隍庙,门票（送3根清香）,10,,,2,4,20,40,,,,,,,,
,Day 1,SH-TICKET-02,上海,门票,豫园,门票,30,40,人,2,4,60,120,,,,,,,,
,Day 1,SH-GUIDE-01,上海,导游,英文导游-初级,8h景点讲解,1200,,天,1,1,1200,1200,,,,,,,,
,Day 1,SH-ACTIVITY-01,上海,活动,黄浦江夜游,（含自助）,286,,人,,,0,0,,,,,,,,
,Day 1,SH-TRANS-06,上海,打车,滴滴快车,市内,200,,天,0,,0,0,,,,,,,,
,Day 1,SH-TRANS-02,上海,车辆,7座车,市内包车+司机,800,,天,0,1,0,800,,,,,,,,
,Day 1,SH-REC-01,上海,推荐活动,荣记95台州菜,人均300-500,,,,,,0,0,,,,,,,,
,Day 1,SH-REC-02,上海,推荐活动,露台酒吧,人均300,,,,,,0,0,,,,,,,,
,,,,,,,,,,,,0,0,,,,,,,,
,Day 2,SH-TICKET-05,上海,门票,朱家角古镇,进镇免费,0,,,2,4,0,0,,,,,,,,
,Day 2,SH-GUIDE-01,上海,导游,英文导游-初级,8h景点讲解,1200,,天,1,1,1200,1200,,,,,,,,
,Day 2,SH-ACTIVITY-02,上海,活动,非遗老布手工体验,朱家角,,,人,0,,0,0,,,,,,,,
,Day 2,SH-ACTIVITY-03,上海,活动,汉服体验,妆造+跟拍+精修,500,,人,0,,0,0,,,,,,,,
,Day 2,SH-TRANS-05,上海,车辆,市内+朱家角往返,包车+司机,900,,天,0,1,0,900,,,,,,,,
,Day 2,SH-TRANS-07,上海,打车,滴滴快车,朱家角/迪士尼,300,,天,1,,300,0,,,,,,,,
,Day 2,SH-REC-04,上海,推荐活动,古镇上海本帮菜,人均150,,,,,,0,0,,,,,,,,
,,,,,,,,,,,,0,0,,,,,,,,
,Day 3,SH-TICKET-03,上海,门票,中共一大会址纪念馆,"免费, 需预约",0,,,2,4,0,0,,,,,,,,
,Day 3,SH-TICKET-04,上海,门票,静安寺,门票,50,,人,2,4,100,200,,,,,,,,
,Day 3,SH-GUIDE-01,上海,导游,英文导游-初级,8h景点讲解,1200,,天,1,1,1200,1200,,,,,,,,
,Day 3,SH-TRANS-06,上海,打车,滴滴快车,市内,200,,天,0,,0,0,,,,,,,,
,Day 3,SH-TRANS-02,上海,车辆,7座车,市内包车+司机,800,,天,0,1,0,800,,,,,,,,
,Day 3,SH-REC-03,上海,推荐活动,法租界小酌,人均150,,,,,,0,0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,总计,,,,,,,,,,,4080,6460,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,产品名称,Shanghai 4 Days,,,产品名称,Shanghai 4 Days,,,,,,,,,,,,,,,
,产品编号,SH-P-03,,,产品编号,SH-P-03,,,,,,,,,,,,,,,
,市内交通方式,半自助打车,,,市内交通方式,私家团,,,,,,,,,,,,,,,
,行程,,,,行程,,,,,,,,,,,,,,,,
,D1,公园+上博+豫园+城隍庙+外滩+荣记95(推荐),,,D1,公园+上博+豫园+城隍庙+外滩+荣记95(推荐),,,,,,,,,,,,,,,
,D2,古镇+非遗体验(可选)+本帮菜(推荐),,,D2,古镇+非遗体验(可选)+本帮菜(推荐),,,,,,,,,,,,,,,
,D3,一大+静安寺+武康路+法租界小酌(推荐),,,D3,一大+静安寺+武康路+法租界小酌(推荐),,,,,,,,,,,,,,,
,D4,迪士尼,,,D4,迪士尼,,,,,,,,,,,,,,,
,产品成本,4730,,,产品成本,9260,,,,,,,,,,,,,,,
,利润保留,30.0%,,,利润保留,30.0%,,,,,,,,,,,,,,,
,售价,6149,,,售价,12038,,,,,,,,,,,,,,,
,单人售价/2人,3075,,,单人售价/4人,3010,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,日期,项目编号,城市,服务类目,项目名称,项目说明,单价,单价（旺季）,单位,数量（2人）,数量（4人）,小计（2人）,小计（4人）,备注,,,,,,,
,Day 1,SH-TICKET-01,上海,门票,上海博物馆,"免费, 需预约",0,,,2,4,0,0,,,,,,,,
,Day 1,SH-TICKET-7,上海,门票,城隍庙,门票（送3根清香）,10,,,2,4,20,40,,,,,,,,
,Day 1,SH-TICKET-02,上海,门票,豫园,门票,30,40,人,2,4,60,120,,,,,,,,
,Day 1,SH-GUIDE-01,上海,导游,英文导游-初级,8h景点讲解,1200,,天,1,1,1200,1200,,,,,,,,
,Day 1,SH-ACTIVITY-01,上海,活动,黄浦江夜游,（含自助）,286,,人,,,0,0,,,,,,,,
,Day 1,SH-TRANS-06,上海,打车,滴滴快车,市内,200,,天,0,,0,0,,,,,,,,
,Day 1,SH-TRANS-02,上海,车辆,7座车,市内包车+司机,800,,天,0,1,0,800,,,,,,,,
,Day 1,SH-REC-01,上海,推荐活动,荣记95台州菜,人均300-500,,,,,,0,0,,,,,,,,
,Day 1,SH-REC-02,上海,推荐活动,露台酒吧,人均300,,,,,,0,0,,,,,,,,
,,,,,,,,,,,,0,0,,,,,,,,
,Day 2,SH-TICKET-05,上海,门票,朱家角古镇,进镇免费,0,,,2,4,0,0,,,,,,,,
,Day 2,SH-GUIDE-01,上海,导游,英文导游-初级,8h景点讲解,1200,,天,1,1,1200,1200,,,,,,,,
,Day 2,SH-ACTIVITY-02,上海,活动,非遗老布手工体验,朱家角,,,人,0,,0,0,,,,,,,,
,Day 2,SH-ACTIVITY-03,上海,活动,汉服体验,妆造+跟拍+精修,500,,人,0,,0,0,,,,,,,,
,Day 2,SH-TRANS-05,上海,车辆,市内+朱家角往返,包车+司机,900,,天,0,1,0,900,,,,,,,,
,Day 2,SH-TRANS-07,上海,打车,滴滴快车,朱家角/迪士尼,300,,天,0,,0,0,,,,,,,,
,Day 2,SH-REC-04,上海,推荐活动,古镇上海本帮菜,人均150,,,,,,0,0,,,,,,,,
,,,,,,,,,,,,0,0,,,,,,,,
,Day 3,SH-TICKET-03,上海,门票,中共一大会址纪念馆,"免费, 需预约",0,,,2,4,0,0,,,,,,,,
,Day 3,SH-TICKET-04,上海,门票,静安寺,门票,50,,人,2,4,100,200,,,,,,,,
,Day 3,SH-GUIDE-01,上海,导游,英文导游-初级,8h景点讲解,1200,,天,1,1,1200,1200,,,,,,,,
,Day 3,SH-TRANS-06,上海,打车,滴滴快车,市内,200,,天,0,,0,0,,,,,,,,
,Day 3,SH-TRANS-02,上海,车辆,7座车,市内包车+司机,800,,天,0,1,0,800,,,,,,,,
,Day 3,SH-REC-03,上海,推荐活动,法租界小酌,人均150,,,,,,0,0,,,,,,,,
,,,,,,,,,,,,0,0,,,,,,,,
,Day 4,SH-TICKET-06,上海,门票,迪士尼乐园,平日票,475,719,人,2,4,950,1900,,,,,,,,
,Day 4,SH-TRANS-05,上海,车辆,市内+朱家角/迪士尼往返,包车+司机,900,,天,0,1,0,900,,,,,,,,
,Day 4,SH-TRANS-07,上海,打车,滴滴快车,朱家角/迪士尼,300,,天,0,,0,0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,总计,,,,,,,,,,,4730,9260,,,,,,,,
