城市 (City),产品编号 (ProductID),产品名称 (ProductName),行程天数 (Duration),每日行程 (Daily Itinerary),常规项目 (Regular Items),可选项目 (Optional Items),常规项目项目编号列表,可选项目项目编号列表
西安,XA-P-02,西安盛唐3日游,3,"Day 1: 兵马俑博物馆+兵马俑DIY+骊山园+唐乐舞表演(可选)
Day 2: 明城墙骑行+钟鼓楼+回民街+大雁塔
Day 3: 大唐芙蓉园+大唐不夜城","秦始皇兵马俑博物馆, 兵马俑DIY体验, 骊山园, 西安城墙自行车租赁, 钟鼓楼, 回民街, 大慈恩寺 (大雁塔), 大唐芙蓉园, 大唐不夜城",唐乐舞表演,"XA-TICKET-04, XA-ACTIVITY-01, XA-TICKET-07, XA-ACTIVITY-04, XA-TICKET-06, XA-ACTIVITY-03, XA-TICKET-02, XA-TICKET-01, XA-ACTIVITY-05",XA-ACTIVITY-02
阳朔,YS-P-01,阳朔山水2日游,2,"Day 1: 遇龙河漂流+十里画廊骑行+西街
Day 2: 古镇+漓江电动竹筏(兴坪-九马画山)+相公山","遇龙河漂流, 十里画廊骑行, 阳朔西街, 古镇, 漓江电动竹筏, 相公山",,"YS-ACTIVITY-07, YS-ACTIVITY-03, YS-ACTIVITY-08, YS-ACTIVITY-04, YS-ACTIVITY-06, YS-TICKET-02"
阳朔,YS-P-02,阳朔深度3日游,3,"Day 1: 遇龙河漂流+十里画廊骑行+阳朔西街
Day 2: 古镇+漓江电动竹筏(兴坪-九马画山)+相公山
Day 3: 全地形山地车+岩洞探险(或飞拉达)+中餐烹饪体验","遇龙河漂流, 十里画廊骑行, 阳朔西街, 古镇, 漓江电动竹筏, 相公山, 全地形山地车, 岩洞探险, 中餐烹饪体验",,"YS-ACTIVITY-07, YS-ACTIVITY-03, YS-ACTIVITY-08, YS-ACTIVITY-04, YS-ACTIVITY-06, YS-TICKET-02, YS-ACTIVITY-02, YS-ACTIVITY-05, YS-ACTIVITY-01"
张家界,ZJJ-P-01,张家界奇景2日游,2,"Day 1: 天门山(含玻璃栈桥和索道)+三下锅(推荐)
Day 2: 森林公园+魅力湘西(可选)","天门山国家森林公园, 张家界国家森林公园","三下锅, 魅力湘西表演","ZJJ-TICKET-04, ZJJ-TICKET-05","ZJJ-ACTIVITY-02, ZJJ-ACTIVITY-05"
张家界,ZJJ-P-02,张家界全景3日游,3,"Day 1: 天门山(含玻璃栈桥和索道)+三下锅(推荐)
Day 2: 森林公园+魅力湘西(可选)
Day 3: 芙蓉镇+苗族长桌宴+凤凰古镇 或 七星山飞拉达+七十二奇楼","天门山国家森林公园, 张家界国家森林公园, 芙蓉镇, 苗族长桌宴, 凤凰古城, 七星山飞拉达, 七十二奇楼","三下锅, 魅力湘西表演","ZJJ-TICKET-04, ZJJ-TICKET-05, ZJJ-TICKET-07, ZJJ-ACTIVITY-04, ZJJ-TICKET-02, ZJJ-ACTIVITY-01, ZJJ-TICKET-01","ZJJ-ACTIVITY-02, ZJJ-ACTIVITY-05"
广州,GZ-P-01,广州商都1日探秘,1,Day 1: 世界工厂探秘+市场淘宝+网红直播基地(可选)+冰啤收尾(推荐),"世界工厂探秘, 市场淘宝","网红直播基地探访, 冰啤收尾","GZ-ACTIVITY-02, GZ-ACTIVITY-07","GZ-ACTIVITY-10, GZ-ACTIVITY-03"
广州,GZ-P-02,广州经典2日游,2,"Day 1: 西关寻踪(陈家祠+沙面+永庆坊)+非遗体验(可选)+荔湾博物馆+广州塔+夜市大排档(推荐)
Day 2: 古龙峡+SPA自助(可选)","陈家祠, 沙面, 永庆坊, 荔湾博物馆, 广州塔, 古龙峡","非遗体验, 夜市大排档, SPA自助","GZ-TICKET-08, GZ-ACTIVITY-09, GZ-ACTIVITY-08, GZ-TICKET-06, GZ-TICKET-05, GZ-TICKET-03","GZ-ACTIVITY-11, GZ-ACTIVITY-06, GZ-ACTIVITY-01"
广州,GZ-P-03,广州历史文化3日游,3,"Day 1: 西关寻踪(陈家祠+沙面+永庆坊)+非遗体验(可选)+荔湾博物馆+广州塔+夜市大排档(推荐)
Day 2: 越秀公园+南越王博物院+中山纪念堂+咏春拳体验(可选)+地道粤菜(推荐)
Day 3: 古龙峡+SPA自助(可选)","陈家祠, 沙面, 永庆坊, 荔湾博物馆, 广州塔, 越秀公园, 南越王博物院, 中山纪念堂, 古龙峡","非遗体验, 夜市大排档, 咏春拳体验, 地道粤菜, SPA自助","GZ-TICKET-08, GZ-ACTIVITY-09, GZ-ACTIVITY-08, GZ-TICKET-06, GZ-TICKET-05, GZ-TICKET-07, GZ-TICKET-02, GZ-TICKET-01, GZ-TICKET-03","GZ-ACTIVITY-11, GZ-ACTIVITY-06, GZ-ACTIVITY-04, GZ-ACTIVITY-05, GZ-ACTIVITY-01"
贵州,GZH-P-01,贵州民族风情4日游,4,"Day 1: 甲秀楼+青岩古镇
Day 2: 施洞苗银村+下司古镇
Day 3: 肇兴侗寨
Day 4: 荔波小七孔","甲秀楼, 青岩古镇, 施洞苗银村, 下司古镇, 肇兴侗寨, 荔波小七孔",,"GUIZ-TICKET-03, GUIZ-TICKET-06, GUIZ-TICKET-02, GUIZ-TICKET-01, GUIZ-TICKET-04, GUIZ-TICKET-05"
云南,YN-P-01,云南彩云之境5日游,5,"Day 1: 昆明石林+昆明老街
Day 2: 大理古城+白族文化体验
Day 3: 洱海+丽江古城+纳西文化体验
Day 4: 香格里拉+虎跳峡+独克宗古城+唐卡绘制体验
Day 5: 普达措国家公园+返回丽江","昆明石林, 昆明老街, 大理古城, 白族文化体验, 洱海, 丽江古城, 纳西文化体验, 香格里拉, 虎跳峡, 独克宗古城, 唐卡绘制体验, 普达措国家公园, 返回丽江",,"YN-TICKET-10, YN-ACTIVITY-05, YN-TICKET-03, YN-ACTIVITY-07, YN-TICKET-11, YN-TICKET-01, YN-ACTIVITY-09, YN-TICKET-12, YN-TICKET-09, YN-TICKET-08, YN-ACTIVITY-03, YN-TICKET-05, YN-ACTIVITY-11",
成都,CD-P-01,成都悠闲2日游,2,"Day 1: 武侯祠+成都博物馆+太古里+川剧变脸(推荐)
Day 2: 大熊猫基地+人民公园+宽窄巷子+串串(推荐)","武侯祠, 成都博物馆, 太古里, 大熊猫基地, 人民公园, 宽窄巷子","川剧变脸表演, 串串","CD-TICKET-03, CD-TICKET-02, CD-ACTIVITY-03, CD-TICKET-01, CD-ACTIVITY-02, CD-ACTIVITY-04","CD-ACTIVITY-05, CD-ACTIVITY-01"
