node_name,storyline,node_type,dwell_time_min,recommended_action,tags,is_free
开普敦公寓,武康安福：多巴胺生活家,历史,10,欣赏Art Deco风格建筑,"建筑, 历史",True
意大利领事官邸,武康安福：多巴胺生活家,历史,10,欣赏地中海风格建筑,"建筑, 历史",True
衡复风貌馆,武康安福：多巴胺生活家,文化,20,了解老建筑历史和新中式美学,"文化, 历史",True
上海邮政博物馆,城市经典：B面上海,视觉,20,拍摄复古欧式穹顶和‘上海之门’框景,"历史, 打卡点, 建筑",True
苏州河畔,城市经典：B面上海,视觉,15,拍摄河滨大楼、老码头和长椅等胶片感场景,"江景, 城市景观, 摄影",False
Manner江景店,城市经典：B面上海,味觉,20,品尝咖啡并拍摄江景,"咖啡店, 江景, 休闲",False
乍浦路桥,城市经典：B面上海,视觉,10,拍摄桥身与陆家嘴、外滩的全景,"桥梁, 城市景观, 摄影",False
新天安堂剧院,城市经典：B面上海,视觉,15,在教堂广场台阶仰拍钟楼,"建筑, 宗教场所, 摄影",False
北外滩滨江步道,城市经典：B面上海,放空,30,散步、欣赏江景和城市风光,"休闲, 观景, 慢游",True
外白渡桥,城市经典：B面上海,视觉,10,拍摄桥身与东方明珠同框画面,"桥梁, 地标, 摄影",False
滨江观景台,城市经典：B面上海,视觉,15,欣赏江景与陆家嘴全景,"观景台, 江景, 城市景观",False
manner coffee（国客滨江店）,城市经典：B面上海,味觉,40,在江景咖啡厅享用咖啡，欣赏城市夜景,"咖啡, 观景, 休闲",False
小巨蛋,城市经典：B面上海,视觉,10,拍摄彩虹桥与小巨蛋的组合画面,"网红景点, 摄影, 现代建筑",False
外滩观景平台,城市经典：B面上海,视觉,20,拍摄外滩夜景和陆家嘴全景,"地标, 观景, 拍照",True
上海市人民英雄纪念塔,城市经典：B面上海,历史,10,了解上海近代历史,"历史, 地标",True
豫园,城市经典：B面上海,历史,120,游览园林景观，感受江南古典建筑艺术,"古建筑, 园林, 文化",False
三穗堂,城市经典：B面上海,视觉,10,欣赏精美的木雕装饰,"建筑, 雕刻",False
仰山堂,城市经典：B面上海,视觉,10,欣赏园林景观,"建筑, 园林",False
南翔小笼,城市经典：B面上海,味觉,30,品尝正宗小笼包,"小吃, 美食",False
大假山,城市经典：B面上海,视觉,15,登高俯瞰园林全景,"假山, 景观",False
玉玲珑,城市经典：B面上海,视觉,10,观赏奇石,"奇石, 园林",False
松月楼素菜包,城市经典：B面上海,味觉,30,品尝素菜包,"素食, 美食",False
万花楼,城市经典：B面上海,视觉,10,欣赏园林花木,"建筑, 园林",False
古戏台,城市经典：B面上海,视觉,10,欣赏传统戏曲舞台,"建筑, 戏曲",False
莱莱小笼,城市经典：B面上海,味觉,45,品尝上海特色小笼包,"美食, 传统",False
鱼乐榭,城市经典：B面上海,视觉,10,观赏锦鲤，放松心情,"园林, 水景",False
九曲桥,城市经典：B面上海,视觉,10,漫步九曲桥，感受传统意境,"桥梁, 园林",False
石窑面包,城市经典：B面上海,味觉,30,尝试新鲜烘焙的面包,"美食, 甜点",False
湖心亭,城市经典：B面上海,视觉,10,欣赏园林景色,"亭子, 园林",False
城隍庙,城市经典：B面上海,文化,60,参观历史文化建筑,"文化, 历史",False
豫园商城,城市经典：B面上海,购物,60,购买雪花膏、大白兔等传统商品,"商业街, 购物",True
丰盛里,城市经典：B面上海,视觉,30,参观建筑和艺术展览,"历史, 文化",True
椰子不语,城市经典：B面上海,味觉,20,品尝特色椰子饮品,"美食, 饮品",False
珮姐,城市经典：B面上海,味觉,60,体验重庆火锅风味,"美食, 火锅",False
广莲申,城市经典：B面上海,味觉,30,品尝上海传统点心,"美食, 传统",False
张园,城市经典：B面上海,视觉,45,欣赏石库门建筑和拍照,"历史, 文化, 建筑",True
LOUIS VUITTON,城市经典：B面上海,购物,30,购买奢侈品,"购物, 奢侈",False
DIOR,城市经典：B面上海,购物,30,购买奢侈品,"购物, 奢侈",False
VACHERON CONSTANTIN,城市经典：B面上海,购物,30,选购高端手表,"购物, 奢侈",False
Blue Bottle Coffee,城市经典：B面上海,味觉,20,品尝精品咖啡,"咖啡, 美食",False
RE Bike Museum,城市经典：B面上海,文化,30,了解自行车历史,"文化, 历史",True
DIPTYQUE,城市经典：B面上海,购物,20,选购香氛产品,"购物, 香氛",False
Ortensia Restaurant,城市经典：B面上海,味觉,60,体验法式料理,"美食, 高级",False
吴江路,城市经典：B面上海,味觉,60,品尝各地特色美食,"美食, 步行街",True
BUTTERFUL & CREAMOROUS 黄油与面包,城市经典：B面上海,味觉,30,尝试特色黄油与面包,"美食, 甜点",False
马子禄牛肉面,城市经典：B面上海,味觉,30,品尝兰州拉面,"美食, 面食",False
Hot Toys,城市经典：B面上海,购物,30,购买手办和玩具,"购物, 动漫",False
Niko and…,城市经典：B面上海,购物,30,选购日系服饰,"购物, 时尚",False
Potato Corner,城市经典：B面上海,味觉,20,尝试不同口味的薯条,"美食, 快餐",False
LV路易号巨轮,城市经典：B面上海,视觉,30,参观展览,"文化, 展览",True
星巴克甄选烘焙工坊,城市经典：B面上海,味觉,30,体验咖啡制作过程,"咖啡, 美食",False
BEIGEL TREE贝果树,城市经典：B面上海,味觉,30,尝试不同口味的贝果,"美食, 甜点",False
泽田本家,城市经典：B面上海,味觉,20,品尝铜锣烧,"美食, 甜点",False
梅龙镇广场,城市经典：B面上海,购物,60,购物和休闲,"购物, 商场",False
中信泰富广场,城市经典：B面上海,购物,60,购物和休闲,"购物, 商场",False
恒隆广场,城市经典：B面上海,购物,60,购物和享受高端服务,"购物, 奢侈",False
静安嘉里中心,城市经典：B面上海,购物,60,购物、餐饮和娱乐,"购物, 综合",False
芮欧百货,城市经典：B面上海,购物,60,购物和挑选时尚商品,"购物, 奢侈",False
久光百货,城市经典：B面上海,购物,60,购物和休闲,"购物, 百货",False
静安寺,城市经典：B面上海,文化,30,在马路对面的人行天桥上拍照打卡,"宗教, 历史",False
静安公园,城市经典：B面上海,放空,20,散步或在泰廊餐厅用餐,"休闲, 公园",True
嘉里中心,城市经典：B面上海,购物,60,购物、餐饮和休闲,"商场, 购物",False
上海展览中心,城市经典：B面上海,视觉,40,拍照和参观欧式建筑,"建筑, 历史",False
中信泰富,城市经典：B面上海,购物,60,购物和体验高端品牌,"商场, 购物",False
AND STORE,城市经典：B面上海,购物,30,购物和体验日系品牌,"商场, 购物",False
星巴克臻选上海烘焙工坊,城市经典：B面上海,味觉,30,参观咖啡制作过程和购买周边商品,"咖啡, 餐饮",False
K11购物艺术中心,城市经典：B面上海,购物,60,参观B3层美术馆展览，逛高奢品牌和潮流店铺。,"艺术, 购物, 文化",False
新天地广场,城市经典：B面上海,味觉,45,在商场内享用特色餐饮，体验上海本地美食。,"美食, 休闲",False
新天地北里,城市经典：B面上海,视觉,60,拍照打卡，探索高颜值店铺和露天酒吧。,"历史, 时尚, 拍照",False
新天地新里,城市经典：B面上海,购物,45,逛话梅、GM巨人展等特色店铺。,"潮流, 购物",False
新天地时尚1期,城市经典：B面上海,购物,45,打卡小熊咖啡店，逛AMAM粉色城堡等网红店铺。,"潮流, 网红, 购物",False
新天地时尚2期,城市经典：B面上海,购物,60,逛左右艺术超市、Jellycat玩偶店和韩系女装店。,"潮流, 购物, 韩系",False
一大会址,城市经典：B面上海,历史,60,参观革命历史展览，了解中国共产党早期历史。,"历史, 红色旅游",True
中共一大纪念馆,城市经典：B面上海,文化,60,参观展览，了解中国共产党早期历史,"历史, 文化",False
% Arabica咖啡,城市经典：B面上海,味觉,20,品尝咖啡，感受极简设计风格,"味觉, 视觉",False
新天地时尚I/II,城市经典：B面上海,购物,45,购物、拍照、享受屋顶花园景观,"购物, 视觉",False
思南公馆,城市经典：B面上海,视觉,40,享受下午茶，感受文艺氛围,"视觉, 文化",False
RIO LAB,城市经典：B面上海,味觉,30,品尝特色鸡尾酒，体验夜生活,"味觉, 文化",False
思南书局,城市经典：B面上海,文化,20,阅读书籍，感受文艺氛围,"文化, 视觉",False
TX淮海,城市经典：B面上海,购物,30,观看先锋艺术展，购买小众潮牌,"购物, 文化",False
蔡澜港式点心,城市经典：B面上海,味觉,30,品尝港式点心，体验地道风味,"味觉, 文化",False
Shake Shack,城市经典：B面上海,味觉,20,品尝网红汉堡，体验美式风味,"味觉, 视觉",False
香港寶林糖水鋪,城市经典：B面上海,味觉,20,品尝港式糖水，感受复古氛围,"味觉, 视觉",False
纽约贝果博物馆,城市经典：B面上海,视觉,25,尝试不同口味的贝果，欣赏店内装饰,"视觉, 味觉",False
之禾卡纷花园,衡复乐章：梧桐树下的变奏,视觉,15,拍照打卡,"拍照, 花园, 建筑",True
衡山路23号,衡复乐章：梧桐树下的变奏,视觉,10,感受节日氛围，拍照,"节日装饰, 建筑, 拍照",True
国际礼拜堂,衡复乐章：梧桐树下的变奏,文化,5,远观拍照,"教堂, 建筑, 拍照",False
衡山路8号,衡复乐章：梧桐树下的变奏,放空,15,休息、欣赏周边环境,"广场, 休息, 城市景观",True
丽波花园,衡复乐章：梧桐树下的变奏,放空,20,散步、观察居民生活,"公园, 生活化, 散步",True
徐家汇藏书楼,衡复乐章：梧桐树下的变奏,文化,30,参观、了解历史,"图书馆, 文化, 历史",False
徐家汇天主堂,衡复乐章：梧桐树下的变奏,文化,20,参观、感受宗教氛围,"教堂, 宗教, 建筑",False
徐汇区书院,衡复乐章：梧桐树下的变奏,文化,25,参观、体验文化活动,"文化空间, 书院, 现代建筑",True
一尺花园,衡复乐章：梧桐树下的变奏,味觉,60,选择靠窗位置拍照，或选择室内位置享受温暖氛围。,"brunch, 拍照, 咖啡馆",False
爱庐,衡复乐章：梧桐树下的变奏,历史,45,参观故居，了解其历史背景。,"历史建筑, 名人故居, 文化",False
普希金纪念碑,衡复乐章：梧桐树下的变奏,视觉,20,拍照打卡，并背诵《假如生活欺骗了你》。,"纪念碑, 拍照, 文化",False
上海交响乐博物馆,衡复乐章：梧桐树下的变奏,文化,90,试听经典音乐作品，了解音乐历史。,"博物馆, 音乐, 文化",True
聂耳音乐广场,衡复乐章：梧桐树下的变奏,视觉,20,与聂耳雕像合影，感受音乐氛围。,"音乐, 雕像, 拍照",False
黑石公寓,衡复乐章：梧桐树下的变奏,历史,30,在外观拍照，了解建筑风格。,"历史建筑, 建筑, 拍照",False
幸福集荟,衡复乐章：梧桐树下的变奏,购物,15,在外部打卡，观察店铺外观。,"商店, 书店, 拍照",False
亦庐,衡复乐章：梧桐树下的变奏,购物,30,浏览旧书，感受书香氛围。,"旧书店, 文化, 购物",False
面包咖啡好天气,愚园路上：电台与弄堂往事,味觉,30,品尝精致甜品，感受治愈氛围,"咖啡店, 甜品",False
董记庐春面馆,愚园路上：电台与弄堂往事,味觉,20,品尝雪菜肉丝面等传统面食,"面馆, 传统美食",False
愚园路电台,愚园路上：电台与弄堂往事,文化,40,点一杯‘电台咖啡’，感受文艺氛围,"文化地标, 咖啡馆",False
愚园路百货公司,愚园路上：电台与弄堂往事,购物,30,探索潮流品牌和快闪活动,"购物, 潮流品牌",False
CALEX灯饰店,愚园路上：电台与弄堂往事,视觉,20,欣赏玻璃橱窗设计，拍照打卡,"灯饰店, 拍照",False
愚园路故事商店,愚园路上：电台与弄堂往事,文化,30,参与主题展览或活动,"文化商店, 展览",False
岐山村,愚园路上：电台与弄堂往事,历史,60,参观花园洋房，了解近代历史,"历史建筑, 名人故居",False
愚楽集·BuBu 市集,愚园路上：电台与弄堂往事,购物,40,淘特色好物，感受慢生活,"市集, 手工艺品",False
粉家螺蛳粉,愚园路上：电台与弄堂往事,味觉,20,品尝特色螺蛳粉,"螺蛳粉, 小吃",False
桐乡咬强羊肉面,愚园路上：电台与弄堂往事,味觉,20,在秋冬季节享用羊肉面,"羊肉面, 地方特色",False
堂屋糖水店,愚园路上：电台与弄堂往事,味觉,15,餐后享用清甜糖水,"糖水店, 甜品",False
长宁区图书馆愚园馆,愚园路上：电台与弄堂往事,文化,30,静心阅读，享受宁静时光,"图书馆, 阅读",False
江苏路街道图书馆,愚园路上：电台与弄堂往事,文化,30,静心阅读，享受宁静时光,"图书馆, 阅读",False
新页书房·亲子科普馆,愚园路上：电台与弄堂往事,文化,40,与孩子一起享受亲子阅读时光,"亲子阅读, 科普",False
CP静安,愚园路上：电台与弄堂往事,购物,60,逛街购物、品尝美食,"购物中心, 商业区",False
愚园支路,愚园路上：电台与弄堂往事,历史,90,漫步欣赏建筑、探索特色店铺,"历史建筑, 步行街",False
安西路十字路口,愚园路上：电台与弄堂往事,视觉,30,拍照、观察城市景观,"地标性路口, 城市景观",False
长宁路,愚园路上：电台与弄堂往事,视觉,60,散步、感受城市氛围,"城市道路, 商业区",False
新艺花行,苏河彼岸：工业遗存与影像,视觉,10,欣赏花卉布置,"花店, 苏州河沿岸",True
不止空间,苏河彼岸：工业遗存与影像,文化,25,欣赏艺术展览,"艺术空间, 历史建筑",True
洛克·外滩源,苏河彼岸：工业遗存与影像,购物,40,购物和休闲,"商业区, 购物",True
圆明园路,苏河彼岸：工业遗存与影像,视觉,20,漫步感受历史氛围,"历史街道, 建筑",True
沙美大楼,苏河彼岸：工业遗存与影像,视觉,10,拍照留念,"建筑, 苏州河",True
山石榴,苏河彼岸：工业遗存与影像,味觉,60,品尝花溪牛肉粉,"贵州菜, 餐厅",True
万国建筑群,苏河彼岸：工业遗存与影像,视觉,25,欣赏建筑风格,"建筑群, 历史",True
和平饭店,苏河彼岸：工业遗存与影像,文化,30,参观建筑和历史,"历史建筑, 文化",True
外滩,苏河彼岸：工业遗存与影像,视觉,40,欣赏夜景和建筑,"景观带, 夜景",True
观夏,苏河彼岸：工业遗存与影像,购物,15,选购香氛产品,"香氛, 购物",True
伊索aesop,苏河彼岸：工业遗存与影像,购物,15,选购洗护产品,"洗护, 购物",True
DQ汉堡,苏河彼岸：工业遗存与影像,味觉,30,尝试特色汉堡,"汉堡, 餐厅",True
Yugo grill,苏河彼岸：工业遗存与影像,味觉,60,品尝南斯拉夫菜,"南斯拉夫菜, 餐厅",True
Tender bar,苏河彼岸：工业遗存与影像,味觉,45,体验调酒氛围,"酒吧, 夜生活",True
福新面粉厂旧址,苏河彼岸：工业遗存与影像,历史,30,参观工业遗存，感受历史沉淀,"历史, 工业遗产",True
Fotografiska影像艺术中心,苏河彼岸：工业遗存与影像,文化,60,观看摄影展览，购买文创周边,"艺术, 摄影",True
四行仓库抗战纪念馆,苏河彼岸：工业遗存与影像,历史,45,参观布满弹孔的西墙，感受历史氛围,"历史, 抗战",True
JK1933,苏河彼岸：工业遗存与影像,视觉,30,参观老建筑，逛犀牛书店,"建筑, 复古",False
苏河皓司,苏河彼岸：工业遗存与影像,放空,40,观展、拍照,"展览, 拍照",False
没顶画廊,苏河彼岸：工业遗存与影像,文化,50,参观近期展览《序与生》,"艺术, 展览",True
苏河湾万象天地,苏河彼岸：工业遗存与影像,购物,60,逛街、参观石库门建筑群,"商业, 建筑",True
天后宫,苏河彼岸：工业遗存与影像,文化,30,参观古迹,"宗教, 古迹",True
上海总商会旧址,苏河彼岸：工业遗存与影像,视觉,20,参观建筑，拍摄喷泉和大草坪,"建筑, 拍照",True
洛克外滩源,苏河彼岸：工业遗存与影像,视觉,30,参观欧式建筑，拍照,"建筑, 拍照",True
